Registry Number,Business Name,Entity Type,Registry Date,Associated Name Type,First Name,Middle Name,Last Name,Suffix,Not of Record Entity,Entity of Record Reg Number,Entity of Record Name,Address ,Address Continued,City,State,Zip Code
153169496,"AAA SHEPHERD'S CARE HOME, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,4925 COLOMA DR SE,,SALEM,OR,97302
153169496,"AAA SHEPHERD'S CARE HOME, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,130 NW REED LN,,DALLAS,OR,97338
153169496,"AAA SHEPHERD'S CARE HOME, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,NICOLE,,BUSHAW,,,,,130 NW REED LN,,DALLAS,OR,97338
153180196,ANCIENT FREE AND ACCEPTED MASONS OF OREGON KLAMATH 77,DOMESTIC NONPROFIT CORPORATION,03/01/2019,MAILING ADDRESS,,,,,,,,PO BOX 876,,KLAMATH FALLS,OR,97601
153180196,ANCIENT FREE AND ACCEPTED MASONS OF OREGON KLAMATH 77,DOMESTIC NONPROFIT CORPORATION,03/01/2019,REGISTERED AGENT,DAN,K,BEVIS,,,,,4820 SAYLER RD,,KLAMATH FALLS,OR,97603
153155495,"ANNALA & HULL, P.C.",DOMESTIC PROFESSIONAL CORPORATION,03/01/2019,MAILING ADDRESS,,,,,,,,PO BOX 325,,HOOD RIVER,OR,97031
153155495,"ANNALA & HULL, P.C.",DOMESTIC PROFESSIONAL CORPORATION,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,305 CASCADE ST,,HOOD RIVER,OR,97031
153155495,"ANNALA & HULL, P.C.",DOMESTIC PROFESSIONAL CORPORATION,03/01/2019,REGISTERED AGENT,DONALD,W,HULL,,,,,305 CASCADE ST,,HOOD RIVER,OR,97031
153155792,"ANNALA, CAREY & HULL",ASSUMED BUSINESS NAME,03/01/2019,AUTHORIZED REPRESENTATIVE,DONALD,W,HULL,,,,,PO BOX 325,,HOOD RIVER,OR,97031
153155792,"ANNALA, CAREY & HULL",ASSUMED BUSINESS NAME,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,305 CASCADE ST,,HOOD RIVER,OR,97031
152483898,"ARNOLD GROUP USA, INC.",FOREIGN BUSINESS CORPORATION,03/01/2019,MAILING ADDRESS,,,,,,,,1170 HOWELL MILL RD STE 300,,ATLANTA,GA,30318
152483898,"ARNOLD GROUP USA, INC.",FOREIGN BUSINESS CORPORATION,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,1170 HOWELL MILL RD STE 300,,ATLANTA,GA,30318
152483898,"ARNOLD GROUP USA, INC.",FOREIGN BUSINESS CORPORATION,03/01/2019,REGISTERED AGENT,,,,,,75788399,REGISTERED AGENTS INC,5305 RIVER RD N STE B,,KEIZER,OR,97303
152483898,"ARNOLD GROUP USA, INC.",FOREIGN BUSINESS CORPORATION,03/01/2019,REGISTERED AGENT,,,,,,75788399,"REGISTERED AGENTS INC, A CORPORATION OF WYOMING",5305 RIVER RD N STE B,,KEIZER,OR,97303
